Entity,Code_x,Year,Indicator:Stand-alone policy or plan for mental health,Code_y,"Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS0-4","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS5-14","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS15-49","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS50-69","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: YEARS70+","Death rate per 100,000 people - Cause: Mental and substance use disorders - Sex: Both sexes - Age_group: ALLAges"
Thailand,THA,2014,Yes,THA,0.0,0.00023870559,2.0632668,1.8099778,3.3679972,1.77
Togo,TGO,2014,Yes,TGO,0.0,0.0,3.1414354,7.4794617,17.354792,2.48
Tonga,TON,2014,No,TON,0.0,0.0,1.3147051,2.802044,6.0518036,1.24
Trinidad and Tobago,TTO,2014,Yes,TTO,0.0,0.0,2.685438,5.810311,9.694215,3.32
Tunisia,TUN,2014,Yes,TUN,0.0,0.0,1.8587673,3.908383,8.419987,2.13
Turkey,TUR,2014,Yes,TUR,0.0,0.0,1.2827607,1.3257604,5.997959,1.19
Turkmenistan,TKM,2014,Yes,TKM,0.0,0.0,4.199905,5.8452106,6.182565,3.31
Uganda,UGA,2014,Yes,UGA,0.0,0.00018043532,1.3305151,6.0830383,19.528837,1.07
United Arab Emirates,ARE,2014,Yes,ARE,0.0,0.0,5.1897287,25.125313,24.400305,4.92
United Kingdom,GBR,2014,Yes,GBR,0.0,0.0,9.002243,7.3075223,4.8028145,6.44
United States,USA,2014,No,USA,0.011035255,0.047037315,23.54865,28.920523,12.116843,19.38
Uruguay,URY,2014,Yes,URY,0.0,0.0,1.6711956,8.670761,16.35686,4.26
Uzbekistan,UZB,2014,Yes,UZB,0.0,0.00018438166,1.2165217,2.2295659,2.7901378,1.05
Vanuatu,VUT,2014,No,VUT,0.0,0.0,1.9074763,3.839326,5.4315033,1.45
Vietnam,VNM,2014,Yes,VNM,0.0,0.00014245237,2.6315606,2.8670547,3.0909617,2.06
Yemen,YEM,2014,Yes,YEM,0.0,0.0,3.3886251,3.9680202,5.4630375,2.19
Zambia,ZMB,2014,Yes,ZMB,0.0,0.0,1.9371192,7.2484007,15.982626,1.51
Zimbabwe,ZWE,2014,Yes,ZWE,0.0,0.0,2.4744596,4.770461,6.850042,1.68
