Entity,Code_x,Year, Engaged in religious/spiritual activities when anxious/depressed,Improved healthy lifestyle behaviors when anxious/depressed,Made a change to work situation when anxious/depressed,Made a change to personal relationships when anxious/depressed,Talked to friends or family when anxious/depressed,Took prescribed medication when anxious/depressed,Spent time in nature/the outdoors when anxious/depressed ,Talked to mental health professional when anxious/depressed,Code_y,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Tunisia,TUN,2020,28.068096,55.969093,29.972229,55.677906,67.43499,29.997808,66.421394,20.863941,TUN,,10050.046,12161720.0,
Turkey,TUR,2020,28.25184,55.197144,21.625143,48.28742,74.642845,48.557346,75.45285,42.53479,TUR,,28473.205,84135432.0,
Uganda,UGA,2020,64.03269,66.05248,60.669,68.302414,81.37971,39.75472,53.531807,31.367619,UGA,,2240.4902,44404608.0,
Ukraine,UKR,2020,27.202133,67.78508,40.182926,55.50576,68.07142,34.739998,81.58315,21.743122,UKR,,12407.79,43909664.0,
United Arab Emirates,ARE,2020,49.15984,80.986725,55.355423,54.70345,79.77137,29.405935,75.7897,25.204256,ARE,,67668.29,9287286.0,
United Kingdom,GBR,2020,40.922478,85.09124,53.808205,51.439003,72.84443,76.715744,76.0082,84.33688,GBR,,41984.105,67059472.0,
United States,USA,2020,56.357536,76.839806,56.91862,64.25587,80.09102,67.084915,84.3986,70.85373,USA,,60167.855,335942016.0,
Upper-middle-income countries,,2020,36.342205,71.11816,47.523617,63.62987,72.22729,40.129444,71.63303,37.965492,,,17017.123,2541463877.0,
Uruguay,URY,2020,31.846924,71.38824,45.104134,65.167366,80.10275,58.520935,72.80397,65.675545,URY,,21828.64,3429087.0,
Uzbekistan,UZB,2020,17.447626,69.6395,47.46711,58.930195,71.34779,61.056923,75.81158,17.23869,UZB,,7344.22,33526662.0,
Vietnam,VNM,2020,26.911486,84.59566,64.33992,64.91945,87.42293,47.534718,70.14963,21.627087,VNM,,10450.622,96648680.0,
World,OWID_WRL,2020,43.077442,72.66484,53.424976,62.49682,78.01984,48.85285,71.10655,43.382866,OWID_WRL,,16175.776,7840952832.0,
Zambia,ZMB,2020,77.35696,73.74495,62.150967,70.076294,85.21131,35.759483,62.21714,29.777609,ZMB,,3183.651,18927716.0,
Zimbabwe,ZWE,2020,63.313522,63.667732,38.669662,52.760998,93.6826,41.948612,64.34553,12.301043,ZWE,,1990.3195,15669663.0,
